
YEAR,MO,DY,HR,ALLSKY_SFC_SW_DWN,T2M,RH2M,WS10M,PS,WD10M,PRECTOTCORR
2015,1,10,6,34.05,24.67,84.63,5.15,100.75,137.7,0.35
2015,1,10,7,212.32,26.03,76.96,6.43,100.81,133.3,0.19
2015,1,10,8,425.5,27.64,68.61,7.01,100.82,127.1,0.11
2015,1,10,9,615.4,29.03,62.55,7.47,100.8,122.9,0.06
2015,1,10,10,647.88,30.08,58.45,7.82,100.75,120.2,0.84
2015,1,10,11,867.28,30.94,55.26,8.08,100.7,118.6,0.41
2015,1,10,12,920.72,31.61,52.49,8.2,100.65,117.8,0.42
2015,1,10,13,882.47,31.75,51.28,8.14,100.62,117.5,0.55
2015,1,10,14,776.55,31.51,51.48,8.02,100.57,117.8,0.43
2015,1,10,15,587.67,30.89,53.24,7.92,100.55,118.6,0.36
2015,1,10,16,377.55,29.94,56.27,7.81,100.58,120.6,0.42
2015,1,10,17,166.0,28.68,61.03,7.64,100.64,123.3,0.69
2015,1,10,18,17.52,27.21,68.66,7.09,100.73,125.7,0.62
2015,1,10,19,0.0,26.38,74.73,6.63,100.78,128.0,0.34
2015,1,10,20,0.0,26.09,77.7,6.4,100.84,130.2,0.34
2015,1,10,21,0.0,25.94,79.81,6.05,100.89,132.0,0.69
2015,1,10,22,0.0,25.85,81.38,5.77,100.89,132.6,1.02
2015,1,10,23,0.0,25.79,81.83,5.58,100.85,131.4,1.18
2015,1,11,0,0.0,25.58,81.87,5.36,100.77,129.5,2.02
2015,1,11,1,0.0,25.52,80.83,5.35,100.69,128.2,2.83
2015,1,11,2,0.0,25.42,80.26,5.21,100.64,126.5,2.53
2015,1,11,3,0.0,25.32,80.32,5.05,100.62,125.5,2.14
2015,1,11,4,0.0,25.23,80.75,4.91,100.62,123.9,1.75
2015,1,11,5,0.0,25.2,81.28,4.88,100.67,121.3,1.51
2015,1,11,6,25.9,25.6,79.99,5.34,100.72,118.8,1.59
2015,1,11,7,173.32,26.86,72.68,6.84,100.77,113.7,2.78
2015,1,11,8,398.48,28.45,63.27,7.81,100.81,108.6,4.26
2015,1,11,9,603.92,29.73,57.58,8.13,100.81,105.3,1.56
2015,1,11,10,786.47,30.65,53.96,8.26,100.79,103.6,0.69
2015,1,11,11,904.55,31.27,51.58,8.24,100.75,103.0,0.49
2015,1,11,12,980.72,31.66,50.12,8.15,100.71,103.2,0.3
2015,1,11,13,960.9,31.56,51.0,8.04,100.66,103.7,0.4
2015,1,11,14,695.9,31.11,53.24,7.94,100.61,104.7,0.52
2015,1,11,15,574.22,30.46,56.04,7.78,100.58,105.5,1.06
2015,1,11,16,368.62,29.58,59.41,7.53,100.59,106.1,1.29
2015,1,11,17,167.57,28.46,63.83,7.12,100.65,106.6,1.24
2015,1,11,18,18.5,27.3,69.87,6.35,100.71,106.8,0.77
2015,1,11,19,0.0,26.72,74.45,5.66,100.76,107.0,0.9
2015,1,11,20,0.0,26.43,77.42,5.09,100.8,106.8,1.1
2015,1,11,21,0.0,26.24,79.52,4.73,100.83,107.0,1.37
2015,1,11,22,0.0,26.07,81.07,4.62,100.82,108.4,1.85
2015,1,11,23,0.0,25.88,82.29,4.53,100.79,110.7,2.72
2015,1,12,0,0.0,25.65,83.27,4.47,100.72,113.2,2.39
2015,1,12,1,0.0,25.43,83.87,4.45,100.65,115.0,2.99
2015,1,12,2,0.0,25.1,85.01,4.26,100.62,115.3,2.8
